Variables,Type,Variables_name_ENG,Variables_name_KOR
DM_Name_CD_Year_selected,0,2000,2000
DM_Name_models,0,Model types,모델유형
DM_Name_models_list,1,SDM_models_list,SDM_models_list
DM_Name_models_selected,0,GLM,GLM
DM_Name_EMmodels,0,Ensemble,앙상블
DM_Name_models_run,0,Run,실행
DM_Name_models_out,0,Model types,모델유형
DM_Name_models_out_list,1,SDM_models_out_list,SDM_models_out_list
DM_Name_models_out_selected,0,GLM,GLM
DM_Name_CD_Models_out,0,Climate Models,기후모델
DM_Name_CD_Models_out_list,1,CD_Models_list,CD_Models_list
DM_Name_CD_Models_out_selected,0,KMA,KMA
DM_Name_CD_Scenarios_out,0,Climate Scenarios,기후시나리오
DM_Name_CD_Scenarios_out_list,1,CD_Scenarios_list,CD_Scenarios_list
DM_Name_CD_Scenarios_out_selected,0,RCP4.5,RCP4.5
DM_Name_CD_Year_out,0,Projecting Years,예측년도
DM_Name_CD_Year_out_list,1,CD_Year_list,CD_Year_list
DM_Name_CD_Year_out_selected,0,2000,2000
DM_Name_Display_types,0,Model types,출력결과 모델
DM_Name_Display_types_list,0,"c(""Species Distribution Model"" = ""SDM"", ""Dispersal Model"" = ""DM"")","c(""종분포모형"" = ""SDM"", ""종확산모형"" = ""DM"")"
DM_Name_Display_types_selected,0,SDM,SDM
DM_Name_Dir,0,SDM Output Folder,SDM 평가결과 폴더
SS_Name,0,Senstive Species,기후변화민감종
SS_Name_Analysis,0,Impact and Vulnerability Asessment,영향 및 취약성평가
SS_Name_Out,0,Assessment Result,평가결과
SS_Name_Out_ChangePlot,0,Distribution Change Result,분포변화 결과
SS_Name_Out_Pattern,0,Vulnerability Pattern,취약성 패턴
SS_Name_Out_Vulnerabiity,0,Vulnerability Order,취약성 순위
SS_Name_DM_Models,0,DIspersal Types,확산모형
SS_Name_DM_Models_list,1,DM_Models_list,DM_Models_list
SS_Name_DM_Models_selected,0,BIOMOD2,BIOMOD2
SS_Name_CD_Models,0,Climate Models,기후모델
SS_Name_CD_Models_list,1,CD_Models_list,CD_Models_list
SS_Name_CD_Models_selected,0,KMA,KMA
SS_Name_CD_Scenarios,0,Climate Scenarios,기후시나리오
SS_Name_CD_Scenarios_list,1,CD_Scenarios_list,CD_Scenarios_list
SS_Name_CD_Scenarios_selected,0,RCP4.5,RCP4.5
SS_Name_CD_Year,0,Projecting Years,예측년도
SS_Name_CD_Year_list,1,CD_Year_list,CD_Year_list
SS_Name_CD_Year_selected,0,2000,2000
SS_Name_models,0,Model types,모델유형
SS_Name_models_list,1,SDM_models_list,SDM_models_list
SS_Name_models_selected,0,GLM,GLM
SS_Name_EMmodels,0,Ensemble,앙상블
SS_Name_models_run,0,Run,실행
SS_Name_models_out,0,Model types,모델유형
SS_Name_models_out_list,1,SDM_models_out_list,SDM_models_out_list
SS_Name_models_out_selected,0,GLM,GLM
SS_Name_CD_Models_out,0,Climate Models,기후모델
SS_Name_CD_Models_out_list,1,CD_Models_list,CD_Models_list
SS_Name_CD_Models_out_selected,0,KMA,KMA
SS_Name_CD_Scenarios_out,0,Climate Scenarios,기후시나리오
SS_Name_CD_Scenarios_out_list,1,CD_Scenarios_list,CD_Scenarios_list
SS_Name_CD_Scenarios_out_selected,0,RCP4.5,RCP4.5
SS_Name_CD_Year_out,0,Projecting Years,예측년도
SS_Name_CD_Year_out_list,1,CD_Year_list,CD_Year_list
SS_Name_CD_Year_out_selected,0,2000,2000
SS_Name_Group1_list,1,SS_Group1_list,SS_Group1_list
SS_Name_Group1_selected,0,Year,Year
SS_Name_Group2_list,1,SS_Group2_list,SS_Group2_list
SS_Name_Group2_selected,0,Model,Model
SS_Name_Group3_list,1,SS_Group3_list,SS_Group3_list
SS_Name_Group3_selected,0,Model,Model
SS_Name_MO_Dir,0,Input Folder,민감종평가 입력폴더
SS_Name_AO_Dir,0,Output Folder,민감종평가 결과폴더
IS_Name,0,Invasive Species,외래종
IS_Name_Anlayis,0,Change Analysis,영향 평가
IS_Name_Out,0,Model Outputs,평가결과
IS_Name_Out_Species,0,Invasive Species Distribution,외래종 분포
IS_Name_Out_SR,0,Invasive species Richness,외래종 풍부도
IS_Name_Out_SI,0,Invasive species Introduction,외래종 유입
IS_Name_Out_Map,0,Map,지도
IS_Name_Out_SIDO,0,SIDO,시도
IS_Name_Out_SGG,0,SIGUNGU,시군구
